date,Bitcoin,crypto crash,buy bitcoin,bitcoin price
2018-12-30,35,0,1,8
2019-01-06,34,0,1,8
2019-01-13,33,0,1,7
2019-01-20,29,0,1,6
2019-01-27,29,0,1,7
2019-02-03,32,0,1,6
2019-02-10,29,0,1,6
2019-02-17,33,0,1,7
2019-02-24,31,0,1,7
2019-03-03,28,0,1,5
2019-03-10,28,0,1,5
2019-03-17,28,0,1,6
2019-03-24,28,0,1,5
2019-03-31,49,0,1,11
2019-04-07,40,0,1,9
2019-04-14,34,0,1,8
2019-04-21,38,0,1,8
2019-04-28,34,0,1,7
2019-05-05,45,0,1,11
2019-05-12,74,0,1,19
2019-05-19,52,0,1,13
2019-05-26,57,0,1,14
2019-06-02,48,0,1,11
2019-06-09,44,0,1,10
2019-06-16,70,0,1,17
2019-06-23,100,0,2,28
2019-06-30,71,0,1,18
2019-07-07,64,0,1,16
2019-07-14,66,0,1,16
2019-07-21,54,0,1,12
2019-07-28,50,0,1,11
2019-08-04,59,0,1,14
2019-08-11,53,0,1,12
2019-08-18,48,0,1,10
2019-08-25,46,0,1,9
2019-09-01,44,0,1,9
2019-09-08,39,0,1,8
2019-09-15,37,0,1,7
2019-09-22,48,0,1,10
2019-09-29,40,0,1,8
2019-10-06,37,0,1,8
2019-10-13,34,0,1,7
2019-10-20,43,0,1,9
2019-10-27,42,0,1,9
2019-11-03,38,0,1,7
2019-11-10,35,0,1,7
2019-11-17,38,0,1,8
2019-11-24,41,0,1,9
2019-12-01,35,0,1,7
2019-12-08,33,0,1,7
2019-12-15,39,0,1,7
2019-12-22,36,0,1,7
2019-12-29,37,0,1,7
2020-01-05,26,0,1,5
2020-01-12,26,0,1,5
2020-01-19,25,0,1,5
2020-01-26,26,0,1,5
2020-02-02,25,0,1,6
2020-02-09,30,0,1,7
2020-02-16,28,0,1,6
2020-02-23,27,0,1,6
2020-03-01,26,0,1,5
2020-03-08,47,0,1,12
2020-03-15,49,0,1,13
2020-03-22,35,0,1,8
2020-03-29,31,0,1,7
2020-04-05,32,0,1,6
2020-04-12,29,0,1,6
2020-04-19,30,0,1,6
2020-04-26,38,0,1,8
2020-05-03,43,0,1,9
2020-05-10,51,0,1,10
2020-05-17,35,0,1,7
2020-05-24,30,0,1,6
2020-05-31,31,0,1,6
2020-06-07,26,0,1,5
2020-06-14,26,0,1,5
2020-06-21,25,0,1,5
2020-06-28,23,0,1,4
2020-07-05,26,0,1,4
2020-07-12,29,0,1,4
2020-07-19,24,0,1,4
2020-07-26,40,0,1,9
2020-08-02,35,0,1,8
2020-08-09,32,0,1,7
2020-08-16,31,0,1,7
2020-08-23,27,0,1,5
2020-08-30,29,0,1,6
2020-09-06,27,0,1,5
2020-09-13,24,0,1,4
2020-09-20,22,0,1,4
2020-09-27,21,0,1,4
2020-10-04,22,0,1,3
2020-10-11,22,0,1,4
2020-10-18,31,0,1,6
2020-10-25,33,0,1,7
2020-11-01,37,0,1,8
2020-11-08,38,0,1,9
2020-11-15,51,0,1,13
2020-11-22,60,0,1,14
2020-11-29,50,0,1,12
2020-12-06,40,0,1,10
2020-12-13,65,0,2,16
2020-12-20,71,0,1,17
2020-12-27,100,0,2,27
2021-01-03,87,0,2,23
2021-01-10,84,0,2,24
2021-01-17,52,0,1,15
2021-01-24,51,0,1,14
2021-01-31,45,0,1,12
2021-02-07,78,0,2,21
2021-02-14,75,0,2,20
2021-02-21,84,0,1,24
2021-02-28,54,0,1,15
2021-03-07,52,0,1,15
2021-03-14,50,0,1,14
2021-03-21,46,0,1,12
2021-03-28,45,0,1,11
2021-04-04,42,0,1,11
2021-04-11,52,0,1,14
2021-04-18,69,0,1,18
2021-04-25,50,0,1,13
2021-05-02,45,0,1,11
2021-05-09,58,0,1,16
2021-05-16,100,1,1,29
2021-05-23,71,0,1,22
2021-05-30,51,0,1,16
2021-06-06,53,0,1,14
2021-06-13,40,0,1,11
2021-06-20,50,0,1,14
2021-06-27,35,0,0,10
2021-07-04,30,0,0,8
2021-07-11,29,0,0,8
2021-07-18,35,0,0,10
2021-07-25,40,0,0,11
2021-08-01,32,0,0,8
2021-08-08,36,0,0,10
2021-08-15,31,0,0,9
2021-08-22,33,0,0,9
2021-08-29,28,0,0,7
2021-09-05,38,0,0,10
2021-09-12,28,0,0,7
2021-09-19,34,0,0,9
2021-09-26,28,0,0,7
2021-10-03,34,0,0,9
2021-10-10,36,0,0,10
2021-10-17,45,0,1,13
2021-10-24,37,0,1,10
2021-10-31,31,0,1,8
2021-11-07,40,0,1,11
2021-11-14,37,0,1,11
2021-11-21,37,0,1,10
2021-11-28,38,0,1,11
2021-12-05,41,0,1,12
2021-12-12,36,0,0,10
2021-12-19,32,0,0,9
2021-12-26,32,0,0,9
2022-01-02,61,0,1,16
2022-01-09,57,0,1,15
2022-01-16,59,1,1,17
2022-01-23,79,0,1,22
2022-01-30,58,0,1,17
2022-02-06,55,0,1,15
2022-02-13,47,0,1,12
2022-02-20,60,0,1,17
2022-02-27,56,0,1,14
2022-03-06,48,0,1,13
2022-03-13,45,0,1,10
2022-03-20,41,0,1,10
2022-03-27,48,0,1,11
2022-04-03,38,0,1,8
2022-04-10,39,0,1,9
2022-04-17,33,0,1,8
2022-04-24,33,0,1,8
2022-05-01,39,0,1,9
2022-05-08,84,2,1,25
2022-05-15,56,0,1,16
2022-05-22,46,0,1,12
2022-05-29,38,0,0,11
2022-06-05,37,0,0,10
2022-06-12,100,1,1,34
2022-06-19,77,0,1,25
2022-06-26,54,0,1,17
2022-07-03,50,0,1,16
2022-07-10,45,0,0,14
2022-07-17,46,0,1,14
2022-07-24,40,0,1,12
2022-07-31,36,0,0,10
2022-08-07,34,0,0,9
2022-08-14,35,0,0,9
2022-08-21,33,0,1,9
2022-08-28,33,0,0,10
2022-09-04,32,0,0,9
2022-09-11,32,0,0,9
2022-09-18,34,0,0,10
2022-09-25,31,0,1,9
2022-10-02,28,0,1,8
2022-10-09,26,0,1,7
2022-10-16,24,0,0,6
2022-10-23,26,0,1,7
2022-10-30,27,0,1,6
2022-11-06,52,0,1,15
2022-11-13,46,0,1,15
2022-11-20,34,0,1,10
2022-11-27,30,0,1,9
2022-12-04,27,0,1,7
2022-12-11,29,0,1,8
2022-12-18,25,0,1,8
2022-12-25,26,0,1,7
2023-01-01,60,0,2,14
2023-01-08,65,0,1,16
2023-01-15,77,0,1,20
2023-01-22,72,0,1,20
2023-01-29,69,0,1,19
2023-02-05,61,0,1,16
2023-02-12,62,0,1,16
2023-02-19,62,0,1,16
2023-02-26,57,0,1,14
2023-03-05,63,0,1,16
2023-03-12,85,0,1,24
2023-03-19,89,0,1,25
2023-03-26,72,0,1,20
2023-04-02,66,0,1,18
2023-04-09,78,0,1,21
2023-04-16,69,0,1,18
2023-04-23,66,0,1,18
2023-04-30,62,0,1,16
2023-05-07,62,0,1,16
2023-05-14,54,0,1,13
2023-05-21,54,0,1,12
2023-05-28,54,0,1,13
2023-06-04,59,0,1,14
2023-06-11,57,0,1,14
2023-06-18,68,0,1,17
2023-06-25,66,0,1,16
2023-07-02,63,0,1,15
2023-07-09,63,0,1,15
2023-07-16,59,0,1,14
2023-07-23,58,0,1,13
2023-07-30,53,0,1,12
2023-08-06,54,0,1,12
2023-08-13,61,0,1,14
2023-08-20,60,0,1,13
2023-08-27,59,0,1,14
2023-09-03,54,0,1,11
2023-09-10,49,0,1,12
2023-09-17,51,0,1,11
2023-09-24,50,0,1,11
2023-10-01,53,0,1,11
2023-10-08,50,0,1,11
2023-10-15,57,0,1,13
2023-10-22,83,0,1,21
2023-10-29,70,0,1,16
2023-11-05,73,0,1,18
2023-11-12,70,0,1,17
2023-11-19,66,0,1,16
2023-11-26,66,0,1,16
2023-12-03,100,0,1,27
2023-12-10,76,0,1,21
2023-12-17,77,0,1,19
2023-12-24,70,0,1,19
2023-12-31,91,0,1,23
